     cSp mSp cAr mAr borrados_cSp borrados_mSp  borrados_cAr  borrados_mAr
1     10  10  10  10           10           10            10            10
2     10  10  10  10           10           10            10            10
3     10  10  10  10           10           10            10            10
4     10  10  10  10           10           10            10            10
5     10  10  10  10           10           10            10            10
6     10  10  10  10           10           10            10            10
7     10  10  10  10           10           10            10            10
8     10  10  10  10           10           10            10            10
9     10  10  10  10           10           10            10            10
10    10  10  10  10           10           10            10            10
11    10  10  10  10           10           10            10            10
12    10  10  10  10           10           10            10            10
13    10  10  10  10           10           10            10            10
14    10  10  10  10           10           10            10            10
15    10  10  10  10           10           10            10            10
16    10  10  10  10           10           10            10            10
17    10  10  10  10           10           10            10            10
18    10  10  10  10           10           10            10            10
19    10  10  10  10           10           10            10            10
20    10  10  10  10           10           10            10            10
21    10  10  10  10           10           10            10            10
22    10  10  10  10           10           10            10            10
23    10  10  10  10           10           10            10            10
24    10  10  10  10           10           10            10            10
25    10  10  10  10           10           10            10            10
26   100 100 100 100          100          100           100           100
27   100 100 100 100          100          100           100           100
28   100 100 100 100          100          100           100           100
29   100 100 100 100          100          100           100           100
30   100 100 100 100          100          100           100           100
31   100 100 100 100          100          100           100           100
32   100 100 100 100          100          100           100           100
33   100 100 100 100          100          100           100           100
34   100 100 100 100          100          100           100           100
35   100 100 100 100          100          100           100           100
36   100 100 100 100          100          100           100           100
37   100 100 100 100          100          100           100           100
38   100 100 100 100            1            1             1             1
39     1   1   1   1            1            1             1             1
40     1   1   1   1            1            1             1             1
41     1   1   1   1            1            1             1             1
42     1   1   1   1            1            1             1             1
43     1   1   1   1            1            1             1             1
44     1   1   1   1            1            1             1             1
45     1   1   1   1            1            1             1             1
46     1   1   1   1            1            1             1             1
47     1   1   1   1            1            1             1             1
48     1   1   1   1            1            1             1             1
49     1   1   1   1            1            1             1             1
50     1   1   1   1            1            1             1             1
51    10  10   0  10            0            0             0             0
52    10  10   0   0            0            0            10             0
53     0  10  10  10            0           10            10             0
54    10   0  10  10           10           10             0            10
55     0  10   0   0            0           10             0             0
56    10  10  10   0           10            0             0            10
57    10  10  10  10            0            0            10            10
58     0   0  10   0            0            0            10             0
59     0   0  10   0           10           10            10            10
60    10   0   0  10           10            0            10             0
61    10   0   0  10           10           10             0            10
62    10  10   0   0            0            0             0            10
63     0  10  10   0           10           10             0            10
64     0   0   0   0           10           10             0             0
65     0   0  10   0            0           10            10            10
66     0  10  10   0           10            0            10            10
67    10  10   0  10            0           10             0             0
68     0  10   0   0           10           10            10             0
69    10   0   0  10           10           10            10            10
70     0   0  10  10            0            0            10             0
71     0   0  10   0            0            0            10             0
72    10  10  10  10           10            0             0            10
73    10   0  10   0           10            0             0            10
74    10  10   0  10           10           10             0             0
75     0   0   0  10            0           10            10             0
76   100 100   0 100            0            0             0             0
77   100 100   0   0            0            0           100             0
78     0 100 100 100            0          100           100             0
79   100   0 100 100          100          100             0           100
80     0 100   0   0            0          100             0             0
81   100 100 100   0          100            0             0           100
82   100 100 100 100            0            0           100           100
83     0   0 100   0            0            0           100             0
84     0   0 100   0          100          100           100           100
85   100   0   0 100          100            0           100             0
86   100   0   0 100          100          100             0           100
87   100 100   0   0            0            0             0           100
88     0 100 100   0            1            1             0             1
89     0   0   0   0            1            1             0             0
90     0   0   1   0            0            1             1             1
91     0   1   1   0            1            0             1             1
92     1   1   0   1            0            1             0             0
93     0   1   0   0            1            1             1             0
94     1   0   0   1            1            1             1             1
95     0   0   1   1            0            0             1             0
96     0   0   1   0            0            0             1             0
97     1   1   1   1            1            0             0             1
98     1   0   1   0            1            0             0             1
99     1   1   0   1            1            1             0             0
100    0   0   0   1            0            1             1             0
101   10  10  10  10           10           10            10            10
102   10  10  10  10           10           10            10            10
103   10  10  10  10           10           10            10            10
104   10  10  10  10           10           10            10            10
105   10  10  10  10           10           10            10            10
106   10  10  10  10           10           10            10            10
107   10  10  10  10           10           10            10            10
108   10  10  10  10           10           10            10            10
109   10  10  10  10           10           10            10            10
110   10  10  10  10           10           10            10            10
111   10  10  10  10           10           10            10            10
112   10  10  10  10           10           10            10            10
113   10  10  10  10           10           10            10            10
114   10  10  10  10           10           10            10            10
115   10  10  10  10           10           10            10            10
116   10  10  10  10           10           10            10            10
117   10  10  10  10           10           10            10            10
118   10  10  10  10           10           10            10            10
119   10  10  10  10           10           10            10            10
120   10  10  10  10           10           10            10            10
121   10  10  10  10           10           10            10            10
122   10  10  10  10           10           10            10            10
123   10  10  10  10           10           10            10            10
124   10  10  10  10           10           10            10            10
125   10  10  10  10           10           10            10            10
126  100 100 100 100          100          100           100           100
127  100 100 100 100          100          100           100           100
128  100 100 100 100          100          100           100           100
129  100 100 100 100          100          100           100           100
130  100 100 100 100          100          100           100           100
131  100 100 100 100          100          100           100           100
132  100 100 100 100          100          100           100           100
133  100 100 100 100          100          100           100           100
134  100 100 100 100          100          100           100           100
135  100 100 100 100          100          100           100           100
136  100 100 100 100          100          100           100           100
137  100 100 100 100          100          100           100           100
138  100 100 100 100            1            1             1             1
139    1   1   1   1            1            1             1             1
140    1   1   1   1            1            1             1             1
141    1   1   1   1            1            1             1             1
142    1   1   1   1            1            1             1             1
143    1   1   1   1            1            1             1             1
144    1   1   1   1            1            1             1             1
